timestamp,action,file_id,operator,details
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0003,system,terms=3
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0003,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0017,system,source=00-setup/sample-data/mail-0017.eml; size=400
2026-03-08T22:24:44Z,PII_DETECT,mail-0017,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0017,system,terms=0
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0017,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0016,system,source=00-setup/sample-data/mail-0016.eml; size=340
2026-03-08T22:24:44Z,PII_DETECT,mail-0016,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0016,system,terms=2
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0016,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0002,system,source=00-setup/sample-data/mail-0002.eml; size=516
2026-03-08T22:24:44Z,PII_DETECT,mail-0002,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0002,system,terms=4
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0002,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0029,system,source=00-setup/sample-data/mail-0029.json; size=459
2026-03-08T22:24:44Z,PII_DETECT,mail-0029,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0029,system,terms=1
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0029,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0014,system,source=00-setup/sample-data/mail-0014.eml; size=477
2026-03-08T22:24:44Z,PII_DETECT,mail-0014,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0014,system,terms=4
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0014,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0028,system,source=00-setup/sample-data/mail-0028.eml; size=427
2026-03-08T22:24:44Z,PII_DETECT,mail-0028,system,emails=1; phones=2
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0028,system,terms=1
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0028,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0001,system,source=00-setup/sample-data/mail-0001.eml; size=514
2026-03-08T22:24:44Z,PII_DETECT,mail-0001,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0001,system,terms=4
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0001,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0015,system,source=00-setup/sample-data/mail-0015.eml; size=434
2026-03-08T22:24:44Z,PII_DETECT,mail-0015,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0015,system,terms=1
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0015,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0033,system,source=00-setup/sample-data/mail-0033.json; size=511
2026-03-08T22:24:44Z,PII_DETECT,mail-0033,system,emails=1; phones=2
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0033,system,terms=3
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0033,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0032,system,source=00-setup/sample-data/mail-0032.json; size=459
2026-03-08T22:24:44Z,PII_DETECT,mail-0032,system,emails=1; phones=2
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0032,system,terms=1
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0032,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0011,system,source=00-setup/sample-data/mail-0011.eml; size=508
2026-03-08T22:24:44Z,PII_DETECT,mail-0011,system,emails=1; phones=2
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0011,system,terms=3
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0011,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0005,system,source=00-setup/sample-data/mail-0005.eml; size=513
2026-03-08T22:24:44Z,PII_DETECT,mail-0005,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0005,system,terms=4
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0005,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0004,system,source=00-setup/sample-data/mail-0004.eml; size=374
2026-03-08T22:24:44Z,PII_DETECT,mail-0004,system,emails=1; phones=0
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0004,system,terms=1
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0004,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0010,system,source=00-setup/sample-data/mail-0010.eml; size=482
2026-03-08T22:24:44Z,PII_DETECT,mail-0010,system,emails=1; phones=2
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0010,system,terms=4
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0010,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0006,system,source=00-setup/sample-data/mail-0006.eml; size=543
2026-03-08T22:24:44Z,PII_DETECT,mail-0006,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0006,system,terms=4
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0006,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0012,system,source=00-setup/sample-data/mail-0012.eml; size=492
2026-03-08T22:24:44Z,PII_DETECT,mail-0012,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0012,system,terms=4
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0012,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0013,system,source=00-setup/sample-data/mail-0013.eml; size=355
2026-03-08T22:24:44Z,PII_DETECT,mail-0013,system,emails=1; phones=0
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0013,system,terms=0
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0013,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0007,system,source=00-setup/sample-data/mail-0007.eml; size=424
2026-03-08T22:24:44Z,PII_DETECT,mail-0007,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0007,system,terms=3
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0007,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0035,system,source=00-setup/sample-data/mail-0035.json; size=385
2026-03-08T22:24:44Z,PII_DETECT,mail-0035,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0035,system,terms=2
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0035,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0039,system,source=00-setup/sample-data/mail-0039.json; size=389
2026-03-08T22:24:44Z,PII_DETECT,mail-0039,system,emails=1; phones=1
2026-03-08T22:24:44Z,PRIVILEGE_HEURISTIC,mail-0039,system,terms=2
2026-03-08T22:24:44Z,REVIEW_ADD,mail-0039,system,duplicate_of=self
2026-03-08T22:24:44Z,INGEST,mail-0038,system,source=00-setup/sample-data/mail-0038.json; size=454
